Pays;Arrivées;Nuitées;Année.mois;Région
Afrique du Sud;84;438;01.01.2021;Suisse total
Allemagne;24168;80099;01.01.2021;Suisse total
Arabie Saoudite;130;765;01.01.2021;Suisse total
Argentine;63;167;01.01.2021;Suisse total
Australie;261;802;01.01.2021;Suisse total
Autres Afrique;452;2048;01.01.2021;Suisse total
Autres Afrique du Nord;225;1023;01.01.2021;Suisse total
Autres Amérique centrale, Caraïbes;173;582;01.01.2021;Suisse total
Autres Amérique du Sud;188;501;01.01.2021;Suisse total
Autres Asie de l'Est;271;767;01.01.2021;Suisse total
Autres Asie de l'Ouest;243;931;01.01.2021;Suisse total
Autres Europe;1172;3391;01.01.2021;Suisse total
Autriche;3046;8150;01.01.2021;Suisse total
Bahreïn;6;34;01.01.2021;Suisse total
Belgique;2973;9718;01.01.2021;Suisse total
Biélorussie;43;132;01.01.2021;Suisse total
Brésil;399;1394;01.01.2021;Suisse total
Bulgarie;400;1260;01.01.2021;Suisse total
Canada;478;1483;01.01.2021;Suisse total
Chili;96;470;01.01.2021;Suisse total
Chine (sans Hongkong);642;1505;01.01.2021;Suisse total
Chine (Taiwan);36;66;01.01.2021;Suisse total
Chypre;111;695;01.01.2021;Suisse total
Croatie;179;489;01.01.2021;Suisse total
Danemark;468;1518;01.01.2021;Suisse total
Egypte;74;212;01.01.2021;Suisse total
Emirats Arabes Unis;685;1416;01.01.2021;Suisse total
Espagne;2134;6065;01.01.2021;Suisse total
Estonie;223;932;01.01.2021;Suisse total
Etats-Unis d'Amérique;2770;8426;01.01.2021;Suisse total
Finlande;209;591;01.01.2021;Suisse total
France;23403;50233;01.01.2021;Suisse total
Grèce;441;1483;01.01.2021;Suisse total
Hongkong;81;329;01.01.2021;Suisse total
Hongrie;499;1997;01.01.2021;Suisse total
Inde;179;1189;01.01.2021;Suisse total
Indonésie;26;110;01.01.2021;Suisse total
Iran (Perse);21;127;01.01.2021;Suisse total
Irlande (Eire);311;1072;01.01.2021;Suisse total
Islande;32;81;01.01.2021;Suisse total
Israël;181;609;01.01.2021;Suisse total
Italie;8378;21877;01.01.2021;Suisse total
Japon;226;770;01.01.2021;Suisse total
Koweït;12;120;01.01.2021;Suisse total
Lettonie;238;907;01.01.2021;Suisse total
Liechtenstein;667;1431;01.01.2021;Suisse total
Lituanie;112;417;01.01.2021;Suisse total
Luxembourg;718;1970;01.01.2021;Suisse total
Malaisie;40;116;01.01.2021;Suisse total
Malte;136;411;01.01.2021;Suisse total
Mexique;100;320;01.01.2021;Suisse total
Norvège;198;739;01.01.2021;Suisse total
Nouvelle-Zélande, Océanie;78;333;01.01.2021;Suisse total
Oman;33;248;01.01.2021;Suisse total
Pays-Bas;3424;9173;01.01.2021;Suisse total
Philippines;77;267;01.01.2021;Suisse total
Pologne;6241;31270;01.01.2021;Suisse total
Portugal;1118;2891;01.01.2021;Suisse total
Qatar;143;565;01.01.2021;Suisse total
République de Corée;434;761;01.01.2021;Suisse total
République tchèque;1279;5075;01.01.2021;Suisse total
Roumanie;1273;3960;01.01.2021;Suisse total
Royaume-Uni;2723;9671;01.01.2021;Suisse total
Russie;2063;10081;01.01.2021;Suisse total
Serbie;146;401;01.01.2021;Suisse total
Singapour;451;622;01.01.2021;Suisse total
Slovaquie;411;2971;01.01.2021;Suisse total
Slovénie;157;531;01.01.2021;Suisse total
Suède;581;2027;01.01.2021;Suisse total
Suisse;424109;962364;01.01.2021;Suisse total
Thaïlande;124;351;01.01.2021;Suisse total
Turquie;413;1340;01.01.2021;Suisse total
Ukraine;509;2042;01.01.2021;Suisse total
Afrique du Sud;6;14;01.01.2021;VD total
Allemagne;579;2002;01.01.2021;VD total
Arabie Saoudite;7;70;01.01.2021;VD total
